VIN,Date,Total CO2,km,Hora,Manufacturer
9BFZB55S5M8843911,2022-07-06 10:54:15.138126,44.01749198564962,2.298328340451026,0.09966963111111111,FORD
93HGK5870GZ218968,2022-07-07 09:41:50.721936,160.40049790524014,7.00234164449671,0.18654102,HONDA
9BWBH6BF0M4017715,2022-07-06 12:07:51.782107,69.51383056206957,2.812931886563626,0.12061912111111113,VOLKSWAGEN
9BWBH6BF0M4017715,2022-07-06 12:03:13.428193,67.20359138332162,1.5602011653128864,0.07603191166666669,VOLKSWAGEN
9BHBG51DAEP106133,2022-07-06 17:18:46.072472,14.96980638457549,3.8719210046078785,0.10097961111111145,HYUNDAI
9BHBG51DAEP106133,2022-07-06 17:01:41.567333,81.46531322590373,7.496613520681308,0.2781495497222223,HYUNDAI
9BHBG51DAEP106133,2022-07-06 16:44:58.455957,81.50156033460098,4.214200919441515,0.2768011269444444,HYUNDAI
9BHBG51DAEP106133,2022-07-06 12:58:56.248090,0.19001425806054403,1.268234764118481,0.0006438113888895221,HYUNDAI
9BHBG51DAEP106133,2022-07-06 12:03:50.252476,33.48708807848933,3.8372328887546665,0.1647989330555556,HYUNDAI
9BHBG51DAEP106133,2022-07-06 09:14:19.883027,10.118663554758742,0.4687134050560738,0.04853747916666664,HYUNDAI
9BHBG51DAEP106133,2022-07-06 09:04:51.701137,49.310477790030475,2.7120699258785703,0.15652849361111112,HYUNDAI
